i,id,rot,t,x,z
605,0xa1,0.8083347082138062,0.0,4937.65576171875,751.7122802734375
606,0xa1,0.808334231376648,0.0,4928.56005859375,752.0313720703125
608,0xa1,0.8083339333534241,0.0,4919.63916015625,752.3443603515625
610,0xa1,0.808333694934845,0.0,4910.54345703125,752.6633911132812
611,0xa1,0.8083335161209106,0.0,4901.53515625,752.9796752929688
612,0xa1,0.8083328008651733,0.0,4892.53076171875,753.2954711914062
613,0xa1,0.8083317279815674,0.0,4883.5224609375,753.6117553710938
614,0xa1,0.8083309531211853,0.0,4874.689453125,753.9215087890625
615,0xa1,0.8083310723304749,0.0,4865.8603515625,754.2313232421875
616,0xa1,0.8083316683769226,0.0,4857.02734375,754.5410766601562
617,0xa1,0.808332085609436,0.0,4848.02294921875,754.8573608398438
618,0xa1,0.8083300590515137,0.0,4839.18994140625,755.1671142578125
619,0xa1,0.8083309531211853,0.0,4830.26953125,755.4801025390625
620,0xa1,0.8083330392837524,0.0,4821.26513671875,755.7958984375
621,0xa1,0.8083296418190002,0.0,4812.43212890625,756.1061401367188
622,0xa1,0.8083305358886719,0.0,4803.423828125,756.4219360351562
623,0xa1,0.8631191849708557,0.0,4795.8505859375,756.6879272460938
624,0xa1,0.86311936378479,0.0,4788.20068359375,756.9560546875
625,0xa1,0.863119900226593,0.0,4780.62353515625,757.2219848632812
626,0xa1,0.8631204962730408,0.0,4773.05029296875,757.4879760742188
627,0xa1,0.8631205558776855,0.0,4765.32373046875,757.7588500976562
628,0xa1,0.8631210923194885,0.0,4757.669921875,758.0274658203125
629,0xa1,0.8631219267845154,0.0,4750.02001953125,758.295654296875
630,0xa1,0.8631222248077393,0.0,4742.52294921875,758.5588989257812
631,0xa1,0.8631221652030945,0.0,4734.79638671875,758.8302612304688
632,0xa1,0.8631224632263184,0.0,4727.142578125,759.0984497070312
633,0xa1,0.8631237745285034,0.0,4719.56884765625,759.3643798828125
634,0xa1,0.86312335729599,0.0,4711.9951171875,759.6298828125
635,0xa1,0.8631225228309631,0.0,4704.42138671875,759.8958129882812
636,0xa1,0.8631216287612915,0.0,4696.84375,760.1618041992188
637,0xa1,0.8631204962730408,0.0,4689.19384765625,760.4299926757812
639,0xa1,0.8631221652030945,0.0,4681.46728515625,760.7013549804688
640,0xa1,0.8631247878074646,0.0,4673.8935546875,760.966796875
641,0xa1,0.8631227016448975,0.0,4666.1669921875,761.2381591796875
653,0xa1,-0.9541374444961548,0.0,4670.70166015625,761.0789794921875
654,0xa1,-0.9541379809379578,0.0,4675.28125,760.9183959960938
655,0xa1,-0.9541383385658264,0.0,4679.861328125,760.75732421875
656,0xa1,-0.9541378021240234,0.0,4684.35498046875,760.5999755859375
657,0xa1,-0.9541385769844055,0.0,4688.93505859375,760.4393920898438
658,0xa1,-0.9541381597518921,0.0,4693.4248046875,760.281494140625
659,0xa1,-0.9541388154029846,0.0,4697.9599609375,760.1227416992188
660,0xa1,-0.9541380405426025,0.0,4702.44970703125,759.9649047851562
661,0xa1,-0.9541395306587219,0.0,4706.93994140625,759.8074951171875
662,0xa1,-0.9541380405426025,0.0,4711.474609375,759.6483154296875
778,0xa1,0.9977903962135315,0.0,4710.46923828125,759.6837768554688
780,0xa1,0.997790515422821,0.0,4709.45458984375,759.7194213867188
782,0xa1,0.997790515422821,0.0,4708.4453125,759.75439453125
784,0xa1,0.9977901577949524,0.0,4707.41162109375,759.790771484375
785,0xa1,0.9977901577949524,0.0,4706.40283203125,759.8262939453125
786,0xa1,0.9977904558181763,0.0,4705.38818359375,759.8618774414062
787,0xa1,0.9977903962135315,0.0,4704.36962890625,759.8975219726562
788,0xa1,0.9977903962135315,0.0,4703.3642578125,759.9329833984375
789,0xa1,0.997790515422821,0.0,4702.36865234375,759.9678344726562
790,0xa1,0.997790515422821,0.0,4701.35009765625,760.0034790039062
791,0xa1,0.997790515422821,0.0,4700.3544921875,760.038330078125
792,0xa1,0.9977901577949524,0.0,4699.35888671875,760.0736694335938
793,0xa1,0.9977898597717285,0.0,4698.34033203125,760.1093139648438
815,0xa1,-0.9706308245658875,0.0,4702.09521484375,759.977294921875
816,0xa1,-0.9706307649612427,0.0,4705.6669921875,759.8521728515625
817,0xa1,-0.9706310033798218,0.0,4709.3115234375,759.7241821289062
818,0xa1,-0.9706307649612427,0.0,4712.91796875,759.597412109375
819,0xa1,-0.9706302881240845,0.0,4716.6005859375,759.4686889648438
820,0xa1,-0.9706301093101501,0.0,4720.2451171875,759.3407592773438
821,0xa1,-0.9706292152404785,0.0,4723.923828125,759.2116088867188
