i,rot,t,x,z
156,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
157,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
159,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
162,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
163,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
164,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
165,-0.9999997615814209,0.0,9779.400390625,872.1499633789062
166,1.0000003576278687,0.0,9779.400390625,872.1499633789062
167,0.9999997615814209,0.0,9779.400390625,872.1499633789062
170,1.0000003576278687,0.0,9779.400390625,872.1499633789062
171,1.0000003576278687,0.0,9779.400390625,872.1499633789062
173,1.0000003576278687,0.0,9779.400390625,872.1499633789062
174,1.0000003576278687,0.0,9779.400390625,872.1499633789062
175,1.0000003576278687,0.0,9779.400390625,872.1499633789062
176,0.7071065902709961,0.0,9797.86328125,872.1499633789062
177,0.7071069478988647,0.0,9840.6435546875,872.1499633789062
178,3.5762795391747204e-07,0.0,9889.2275390625,872.1499633789062
180,1.7881397695873602e-07,0.0,9950.83984375,872.1499633789062
181,1.7881397695873602e-07,0.0,10013.6279296875,872.1499633789062
182,1.7881397695873602e-07,0.0,10076.6181640625,872.1499633789062
183,1.7893111703415343e-07,0.0,10079.5625,872.1499633789062
184,-0.7071065902709961,0.0,10032.474609375,872.1499633789062
185,-0.7071068286895752,0.0,9988.1591796875,872.1499633789062
186,-0.7071068286895752,0.0,9945.1435546875,872.1499633789062
187,-0.7071068286895752,0.0,9902.55078125,872.1499633789062
188,-0.7071068286895752,0.0,9858.2578125,872.1499633789062
189,-0.7071068286895752,0.0,9815.5869140625,872.1499633789062
192,-1.0000003576278687,0.0,9793.7626953125,872.1499633789062
193,3.5762795391747204e-07,0.0,9848.0654296875,872.1499633789062
194,1.7881397695873602e-07,0.0,9908.0693359375,872.1499633789062
195,5.326319296727888e-07,0.0,9923.0634765625,872.1499633789062
196,-3.5762795391747204e-07,0.0,9875.775390625,872.1499633789062
197,-3.5762795391747204e-07,0.0,9815.7578125,872.1499633789062
